[2024-01-27 13:18:04] ---->itr: 111::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 4.000000 - 
[2024-01-27 13:18:04] ---->itr: 112::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 4.000000 - 
[2024-01-27 13:18:04] ---->itr: 113::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 4.000000 - 
[2024-01-27 13:18:04] ---->itr: 114::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 4.000000 - 
[2024-01-27 13:18:04] ---->itr: 115::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 4.000000 - 
[2024-01-27 13:18:04] ---->itr: 116::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 4.000000 - 
[2024-01-27 13:18:04] ---->itr: 117::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 4.000000 - 
[2024-01-27 13:18:04] ---->itr: 118::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 4.000000 - 
[2024-01-27 13:18:04] ---->itr: 119::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 4.000000 - 
[2024-01-27 13:18:05] ---->itr: 120::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 4.000000 - 
[2024-01-27 13:18:05] ---->itr: 121::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 4.000000 - 
[2024-01-27 13:18:05] ---->itr: 122::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 4.000000 - 
[2024-01-27 13:18:05] ---->itr: 123::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 4.000000 - 
[2024-01-27 13:18:05] ---->itr: 124::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 4.000000 - 
[2024-01-27 13:18:05] ---->itr: 125::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 4.000000 - 
[2024-01-27 13:18:05] ---->itr: 126::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 4.000000 - 
[2024-01-27 13:18:05] ---->itr: 127::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:18:05] ---->itr: 128::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:18:06] ---->itr: 129::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:18:06] ---->itr: 130::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:18:06] ---->itr: 131::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:18:06] ---->itr: 132::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:18:06] ---->itr: 133::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:18:06] ---->itr: 134::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 2.000000 - 
