[2024-01-27 13:36:26] ---->itr: 101::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:36:26] ---->itr: 102::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:36:26] ---->itr: 103::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:36:26] ---->itr: 104::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:36:26] ---->itr: 105::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:36:26] ---->itr: 106::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:36:26] ---->itr: 107::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:36:26] ---->itr: 108::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:36:26] ---->itr: 109::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:36:26] ---->itr: 110::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:36:26] ---->itr: 111::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:36:26] ---->itr: 112::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:36:26] ---->itr: 113::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:36:26] ---->itr: 114::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:36:26] ---->itr: 115::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:36:26] ---->itr: 116::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:36:26] ---->itr: 117::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:36:26] ---->itr: 118::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:36:26] ---->itr: 119::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:36:27] ---->itr: 120::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:36:27] ---->itr: 121::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:36:27] ---->itr: 122::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:36:27] ---->itr: 123::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:36:27] ---->itr: 124::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:36:27] ---->itr: 125::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:36:27] ---->itr: 126::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:36:27] ---->itr: 127::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:36:27] ---->itr: 128::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:36:27] ---->itr: 129::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:36:27] ---->itr: 130::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:36:27] ---->itr: 131::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:36:27] ---->itr: 132::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:36:27] ---->itr: 133::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:36:27] ---->itr: 134::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:36:27] ---->itr: 135::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:36:27] ---->itr: 136::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:36:27] ---->itr: 137::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:36:27] ---->itr: 138::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:36:27] ---->itr: 139::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:36:27] ---->itr: 140::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:36:27] ---->itr: 141::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:36:27] ---->itr: 142::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:36:28] ---->itr: 143::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
