[2024-01-27 15:30:40] ---->itr: 40::::: found: 0::::::::2.000000 - 2.000000 - 4.000000 - 
[2024-01-27 15:30:40] ---->itr: 41::::: found: 0::::::::2.000000 - 2.000000 - 4.000000 - 
[2024-01-27 15:30:40] ---->itr: 42::::: found: 0::::::::2.000000 - 2.000000 - 4.000000 - 
[2024-01-27 15:30:41] ---->itr: 43::::: found: 0::::::::2.000000 - 2.000000 - 4.000000 - 
[2024-01-27 15:30:41] ---->itr: 44::::: found: 0::::::::2.000000 - 2.000000 - 4.000000 - 
[2024-01-27 15:30:41] ---->itr: 45::::: found: 0::::::::2.000000 - 2.000000 - 4.000000 - 
[2024-01-27 15:30:41] ---->itr: 46::::: found: 0::::::::2.000000 - 2.000000 - 4.000000 - 
[2024-01-27 15:30:41] ---->itr: 47::::: found: 0::::::::2.000000 - 2.000000 - 4.000000 - 
[2024-01-27 15:30:42] ---->itr: 48::::: found: 0::::::::2.000000 - 2.000000 - 4.000000 - 
[2024-01-27 15:30:42] ---->itr: 49::::: found: 0::::::::2.000000 - 2.000000 - 4.000000 - 
[2024-01-27 15:30:42] ---->itr: 50::::: found: 0::::::::2.000000 - 2.000000 - 4.000000 - 
[2024-01-27 15:30:42] ---->itr: 51::::: found: 0::::::::2.000000 - 2.000000 - 4.000000 - 
[2024-01-27 15:30:42] ---->itr: 52::::: found: 0::::::::2.000000 - 2.000000 - 4.000000 - 
[2024-01-27 15:30:42] ---->itr: 53::::: found: 0::::::::2.000000 - 2.000000 - 4.000000 - 
[2024-01-27 15:30:43] ---->itr: 54::::: found: 0::::::::2.000000 - 2.000000 - 4.000000 - 
[2024-01-27 15:30:43] ---->itr: 55::::: found: 0::::::::2.000000 - 2.000000 - 4.000000 - 
[2024-01-27 15:30:43] ---->itr: 56::::: found: 0::::::::2.000000 - 2.000000 - 4.000000 - 
[2024-01-27 15:30:43] ---->itr: 57::::: found: 0::::::::2.000000 - 2.000000 - 4.000000 - 
[2024-01-27 15:30:43] ---->itr: 58::::: found: 0::::::::2.000000 - 2.000000 - 4.000000 - 
[2024-01-27 15:30:43] ---->itr: 59::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:30:44] ---->itr: 60::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:30:44] ---->itr: 61::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:30:44] ---->itr: 62::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:30:44] ---->itr: 63::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:30:44] ---->itr: 64::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:30:44] ---->itr: 65::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:30:45] ---->itr: 66::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:30:45] ---->itr: 67::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:30:45] ---->itr: 68::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:30:45] ---->itr: 69::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:30:45] ---->itr: 70::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:30:45] ---->itr: 71::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:30:46] ---->itr: 72::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:30:46] ---->itr: 73::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:30:46] ---->itr: 74::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:30:46] ---->itr: 75::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:30:46] ---->itr: 76::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:30:46] ---->itr: 77::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:30:46] ---->itr: 78::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:30:46] ---->itr: 79::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:30:47] ---->itr: 80::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:30:47] ---->itr: 81::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:30:47] ---->itr: 82::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:30:47] ---->itr: 83::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:30:47] ---->itr: 84::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:30:47] ---->itr: 85::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:30:47] ---->itr: 86::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:30:48] ---->itr: 87::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:30:48] ---->itr: 88::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:30:48] ---->itr: 89::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:30:48] ---->itr: 90::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:30:48] ---->itr: 91::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:30:48] ---->itr: 92::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:30:48] ---->itr: 93::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:30:49] ---->itr: 94::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:30:49] ---->itr: 95::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:30:49] ---->itr: 96::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:30:49] ---->itr: 97::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:30:49] ---->itr: 98::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:30:49] ---->itr: 99::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:30:49] ---->itr: 100::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:30:49] ---->itr: 101::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:30:49] ---->itr: 102::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:30:50] ---->itr: 103::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:30:50] ---->itr: 104::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:30:50] ---->itr: 105::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:30:50] ---->itr: 106::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:30:50] ---->itr: 107::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:30:50] ---->itr: 108::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:30:50] ---->itr: 109::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:30:51] ---->itr: 110::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:30:51] ---->itr: 111::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:30:51] ---->itr: 112::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:30:51] ---->itr: 113::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:30:51] ---->itr: 114::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:30:51] ---->itr: 115::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:30:51] ---->itr: 116::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:30:52] ---->itr: 117::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:30:52] ---->itr: 118::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:30:52] ---->itr: 119::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:30:52] ---->itr: 120::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:30:52] ---->itr: 121::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:30:52] ---->itr: 122::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:30:52] ---->itr: 123::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:30:53] ---->itr: 124::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:30:53] ---->itr: 125::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:30:53] ---->itr: 126::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:30:53] ---->itr: 127::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:30:53] ---->itr: 128::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:30:53] ---->itr: 129::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:30:53] ---->itr: 130::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:30:53] ---->itr: 131::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:30:54] ---->itr: 132::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:30:54] ---->itr: 133::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:30:54] ---->itr: 134::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:30:54] ---->itr: 135::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:30:54] ---->itr: 136::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:30:54] ---->itr: 137::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:30:55] ---->itr: 138::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:30:55] ---->itr: 139::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:30:55] ---->itr: 140::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:30:55] ---->itr: 141::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:30:55] ---->itr: 142::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:30:55] ---->itr: 143::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:30:55] ---->itr: 144::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:30:56] ---->itr: 145::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:30:56] ---->itr: 146::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:30:56] ---->itr: 147::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:30:56] ---->itr: 148::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:30:56] ---->itr: 149::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:30:56] ---->itr: 150::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:30:56] ---->itr: 151::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:30:57] ---->itr: 152::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:30:57] ---->itr: 153::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:30:57] ---->itr: 154::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:30:57] ---->itr: 155::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:30:57] ---->itr: 156::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:30:57] ---->itr: 157::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:30:57] ---->itr: 158::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:30:58] ---->itr: 159::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:30:58] ---->itr: 160::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:30:58] ---->itr: 161::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:30:58] ---->itr: 162::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:30:58] ---->itr: 163::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:30:58] ---->itr: 164::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:30:58] ---->itr: 165::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:30:59] ---->itr: 166::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:30:59] ---->itr: 167::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:30:59] ---->itr: 168::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:30:59] ---->itr: 169::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:30:59] ---->itr: 170::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:30:59] ---->itr: 171::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:30:59] ---->itr: 172::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:31:00] ---->itr: 173::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:31:00] ---->itr: 174::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:31:00] ---->itr: 175::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:31:00] ---->itr: 176::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 15:31:00] ---->itr: 177::::: found: 0::::::::1.000000 - 1.000000 - 2.000000 - 
[2024-01-27 15:31:00] ---->itr: 178::::: found: 0::::::::1.000000 - 1.000000 - 2.000000 - 
[2024-01-27 15:31:00] ---->itr: 179::::: found: 0::::::::1.000000 - 1.000000 - 2.000000 - 
[2024-01-27 15:31:00] ---->itr: 180::::: found: 0::::::::1.000000 - 1.000000 - 2.000000 - 
[2024-01-27 15:31:00] ---->itr: 181::::: found: 0::::::::1.000000 - 1.000000 - 2.000000 - 
[2024-01-27 15:31:00] ---->itr: 182::::: found: 0::::::::1.000000 - 1.000000 - 2.000000 - 
[2024-01-27 15:31:00] ---->itr: 183::::: found: 0::::::::1.000000 - 1.000000 - 2.000000 - 
[2024-01-27 15:31:01] ---->itr: 184::::: found: 0::::::::1.000000 - 1.000000 - 2.000000 - 
[2024-01-27 15:31:01] ---->itr: 185::::: found: 0::::::::1.000000 - 1.000000 - 2.000000 - 
[2024-01-27 15:31:01] ---->itr: 186::::: found: 0::::::::1.000000 - 1.000000 - 2.000000 - 
[2024-01-27 15:31:01] ---->itr: 187::::: found: 0::::::::1.000000 - 1.000000 - 2.000000 - 
[2024-01-27 15:31:01] ---->itr: 188::::: found: 0::::::::1.000000 - 1.000000 - 2.000000 - 
